label,left_id,left_name,left_descrtiption,left_price,right_id,right_name,right_descrtiption,right_price
0,bigdogworld_020,Taste of the Wild High Prairie Venison 13Kg,Taste of the Wild High Prairie is a grain-free dog food providing highly digestible energy. Made with real roasted meats like buffalo; venison and bison this formula delivers a taste sensation.Supplemented with vegetables and fruits this hearty formula delivers antioxidants to help give your dog a healthy lifestyle.Taste of the Wild High Prairie Ingredients:Buffalo; lamb meal; chicken meal; sweet potatoes; peas; potatoes; canola oil; egg product; roasted bison; roasted venison; beef; natural flavor; tomato pomace; potato protein; pea protein; ocean fish meal; salt; choline chloride; dried chicory root; tomatoes; blueberries; raspberries; yucca schidigera extract; dried Lactobacillus acidophilus fermentation product; dried Bifidobacterium animalis fermentation product; dried Lactobacillus reuteri fermentation product; vitamin E supplement; iron proteinate; zinc proteinate; copper proteinate; ferrous sulfate; zinc sulfate; copper sulfate; potassium iodide; thiamine mononitrate (vitamin B1); manganese proteinate; manganous oxide; ascorbic acid; vitamin A supplement; biotin; niacin; calcium pantothenate; manganese sulfate; sodium selenite; pyridoxine hydrochloride (vitamin B6); vitamin B12 supplement; riboflavin (vitamin B2); vitamin D supplement; folic acid.Protein: 32% minimumFat: 18% minimum,48.95,megapet_101,Taste of the Wild Grain Free Canine Pacific Stream 2kg Dry Dog Food,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,56.99
0,petsupplies_127,Blue Buffalo Lg Breed Senior Dry Dog Food 30lb,"BLUE™ Buffalo Life Protection Formula Large Breed Senior Chicken and Brown Rice Recipe Dry Dog FoodBLUE™ Buffalo Life Protection Formula Large Breed for senior dogs is formulated with ingredients chosen specifically to help them maintain their overall health and well-being. Dogs love tasty chicken; and it provides them with essential amino acids they need every day. Hearty whole grains like brown rice; barley; and oats supply the complex carbohydrates that your dog needs for energy. Whole carrots; sweet potatoes; and peas are three of the nutrient-rich vegetables that your dog will get in every bite of BLUE. LifeSource® Bits contain a precise blend of vitamins; minerals and antioxidants selected by holistic veterinarians and animal nutritionists. Importantly; BLUE LifeSource Bits are ""cold-formed"" separately from the rest of our kibble to help preserve the potency of the ingredients.Features:Made in the USAStrengthens immune systemHelps resist some environmental toxinsAssists in specific life stage requirementsOffers essential aminoacids and complex carbohydratesHelp strengthen your older dog's immune systemHigh quality proteinWholesome whole grainsHealthy garden veggies Item Specifications:Flavor: Chicken & Brown RiceGuaranteed Analysis:Crude Protein (min.): 22.0%Crude Fat (min.): 10.0%Crude Fiber (max.): 4.5%Moisture (max.): 10.0%Calcium (min.): 1.0%Phosphorus (min.): 0.9%L-Carnitine* (min.): 100 mg/kgOmega 3 Fatty Acid* (min.): 0.9%Omega 6 Fatty Acid* (min.): 3.0%Glucosamine* (min.): 400 mg/kgChondroitin* (min.): 300 mg/kgCalorie Content: 3460 kcal/kg; 414 Kcal/cup*Not recognized as an essential nutrient by AAFCO Pet Food Nutrient Profiles.Ingredients:Deboned Chicken; Whole Ground Barley; Oatmeal; Whole Ground Brown Rice; Chicken Meal; Peas; Rice Bran; Flaxseed (natural source of Omega 3 and 6 Fatty Acids); Chicken Fat (preserved naturally with Mixed Tocopherols); Natural Chicken Flavor; Whole Potatoes; Tomato Pomace (natural source of Lycopene); Whole Carrots; Whole Sweet Potatoes; Blueberries; Cranberries; Barley Grass; Dried Parsley; Garlic; Alfalfa Meal; Dried Kelp; Yucca Schidigera Extract; L-Carnitine; L-Lysine; Glucosamine Hydrochloride; Chondroitin Sulfate; Turmeric; Dried Chicory Root; Oil of Rosemary; Beta Carotene; Calcium Carbonate; Vitamin A Supplement; Thiamine Mononitrate (Vitamin B1); Riboflavin (Vitamin B2); Niacin (Vitamin B3); d-Calcium Pantothenate (Vitamin B5); Pyridoxine Hydrochloride (Vitamin B6); Biotin (Vitamin B7); Folic Acid (Vitamin B9); Vitamin B12 Supplement; Calcium Ascorbate (source of Vitamin C); Vitamin D3 Supplement; Vitamin E Supplement; Iron Amino Acid Chelate; Zinc Amino Acid Chelate; Manganese Amino Acid Chelate; Copper Amino Acid Chelate; Choline Chloride; Sodium Selenite; Calcium Iodate; Salt; Caramel; Potassium Chloride; Saccharomyces cerevisiae; Lactobacillus acidophilus; Bacillus subtilis; Enterococcus faecium",29.15,roguevalleypet_034,Blue Buffalo Life Protection Large Breed Adult Healthy Weight Chicken and Brown Rice Recipe Dry Dog Food,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,62.39
0,countrymax_108,Taste of the Wild Appalachian Valley Small Breed Dog Food,Taste of the Wild Appalachian Valley Small Breed Dog Food with Venison and Garbanzo Beans has a highly digestible venison protein and small kibble size that makes this formula easy on your small breed dog's tummy and teeth. Probiotics and prebiotic fiber help support healthy digestion; while a blend of venison; lamb; egg; duck and ocean fish proteins provide optimal amino acid nutrition. Rich in proteins and fat; this formula provides the energy that active small dogs need. Your dog craves a taste of the wild. Go ahead and give him one.K9 Strain ProbioticsPrebiotic FiberGrain free dog food for small breedsReal VenisonOptimal Amino AcidsSmall KibbleOmega Fatty Acid BlendAntioxidantsProtein: 32.0% minimum; Fat: 18.0% minimumCalories: 3;719 kcal/kg (370 kcal/cup) Calculated Metabolized EnergyAvailable in 5lb; 14lb and 28lb bags,12.99,mypetwarehouse_193,TASTE OF THE WILD WETLANDS CANINE 374GX12,"Royal Canin Labrador Retriever Adult 12kgLabrador Retriver 15 Months + Complete feed for adult and mature Labradors - Over 15 months oldThis Is Specially Developed For The Nutritional Requirements Of Labrador And Golden Retrievers.The Special Structure Of The Food Pieces Slows Eating.The Pieces Are Not Very Dense;They Produce A Feeling Of Fullness Sooner.The Size Of The Food Pieces Inspires Intense Chewing;This Generates A Mechanical Tooth Brushing Effect.Contains Vitamins C & E With Taurine And Lutein To Help Prevent Premature Ageing.Also L-Carnitine Mobilizes The Body's Fat Reserves;Resulting In Optimal Energy Utilization.IDEAL WEIGHTThe Labrador Retriever is known for his tendency to gain weight. This formula helps maintain the Labrador Retriever’s ideal weight thanks to an adapted calorie content.BONE & JOINT HEALTHThis specific formula helps support healthy bones and joints and maintain ideal weight. Enriched with EPA and DHA.HEALTHY SKIN & COATLABRADOR ADULT helps support the skin’s ""barrier"" role (exclusive complex) and maintain skin & coat health (EPA & DHA). Enriched with borage oil.EXCLUSIVE KIBBLEThe kibble's texture and formula are adapted to the Labrador Retriever dog; and its exclusive shape helps reduce the rate of food intake.IngredientsCOMPOSITION: dehydrated poultry protein; maize; rice; maize gluten; animal fats; hydrolysed animal proteins; vegetable protein isolate*; vegetable fibres; beet pulp; yeasts; minerals; fish oil; soya oil; psyllium husks and seeds; fructooligo-saccharides; hydrolysed crustaceans (source of glucosamine); borage oil (0.1%); green tea and grape extracts (source of polyphenols); marigold extract(source of lutein); hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 23900 IU; Vitamin D3: 800 IU; E1 (Iron): 39 mg; E2 (Iodine): 2.7 mg; E4 (Copper): 1 mg; E5 (Manganese): 52 mg; E6 (Zinc): 194 mg; E8 (Selenium): 0.1 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 30% - Fat content: 13% - Crude ash: 6.6% - Crude fibres: 3.6% - EPA and DHA fatty acids: 4 g/kg",41.99
0,bibita_268,Royal Canin Labrador Retriever Adult,Royal Canin Labrador Retriever Adult is a tasty; dry dog food; which offers a complete and balanced meal. Specially formulated to avoid your Labrador from overeating and gaining excessive weight; this kibble also helps to ensure your dog’s joints are supported. Feeding your Labrador Retriever Royal Canin will really help them develop; as they are being given a delicious meal which is rich in all the nutrients they need to thrive. Labrador Retrievers are well-known as an energetic and lively breed of dog – they just love going on walkies! However; their active nature leads to more wear-and-tear on their joints and cartilage; which can later cause arthritis. Royal Canin Labrador dry food is enriched with minerals to help maintain your dog’s healthy joints.Labradors tend to have a rather low calorie requirement; but they often gain weight by over-feeding. Royal Canin Labrador Retriever Adult is also the perfect food for helping your dog to maintain a healthy weight; due to the adapted calorie content.Royal Canin Labrador Retriever Adult kibble is suitable for Labrador Retrievers aged 15+ months and weighing 26-40kg.Royal Canin Labrador Retriever Adult dry dog food:Ideal weight: Reduced fat content (13%) and L-carnitine for stimulating the digestion of fats helps contribute towards maintaining you Labrador Retriever’s ideal weight.  A special kibble thickness and shape as well as a recipe containing barley and psyllium help to provide a quick feeling a satisfaction and fullness.Strengthening the joints: Royal Canin Labrador Retriever dog food helps to strengthen joints and thus can help provide stronger support for your Labrador’s bones.  The joint nutrients chondroitin-sulphate and glucosamine slow down the wearing of the joints and stimulate joint cell regeneration.  The omega 3 fatty acids EPA and DHA work to reduce inflammation and manganese and a complex of anti-oxidants protect from oxidative damage.Skin protection and radiant fur: Royal Canin Breed Labrador Retriever Dog Food strengthens the barrier function of the skin and maintains the natural shine of your dog's fur thanks to a mixture of vitamins and amino acids.Natural Eyesight Maintenance: An anti-oxidant complex (lutein; Zeaxanthin; vitamins E & C) helps maintain eyesight.Kibble:,82.99,cheshirepetsupplies_060,Royal Canin Labrador Retriever Adult 12kg,"Complete dog feed for adult and mature German Shepherds. - Over 15 months oldÂ   DIGESTIVE PERFORMANCE :Â  Contributes to supporting digestive health while taking into account the German ShepherdÂs digestive sensitivity; thanks to highly digestible L.I.P. proteins and a selection of specific fibres to limit intestinal fermentation while promoting a balance in the intestinal flora.Â   Â BONE & JOINT HEALTH :Â  This specific formula helps support healthy bones and joints and helps maintain ideal weight.Â  Enriched with EPA and DHA.Â   HEALTHY SKIN & COAT:Â  This formula helps support the skinÂs ""barrier"" role (exclusive complex) and maintain skin & coat health (EPA & DHA).Â   EXCLUSIVE KIBBLE :Â  The kibble's shape; size; texture and formula are adapted to the German Shepherd.",46.36
0,miscota_028,Royal Canin Yorkshire Terrier Adult,Complete feed for dogs Â Specially forÂ adult and mature Yorkshire Terriers Â Over 10 months old Main BenefitsCOAT HEALTH This exclusive formula contributes to maintaining health of the YorkshireÂs long coat. Enriched with adapted content of Omega 3 fatty acids (EPA & DHA); Omega 6 fatty acids; borage oil and biotin. SATISFIES FUSSY APPETITESThis formula satisfies the fussiest of appetites thanks to a combination of exceptional flavours. HEALTHY AGEING SUPPORTThis formula supplies a selection of nutrients to help maintain health in mature dogs. Â EXCLUSIVE KIBBLE: DENTAL HEALTHThis formula helps reduce tartar formation thanks to calcium chelators.,9.82,miscota_063,Royal Canin German Shepherd Adult para Pastor AlemÃ¡n,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,20.99
0,petnutritioncenter_089,Blue Buffalo Freedom Grain Free Chicken Recipe Puppy Dry Dog Food,"Some puppies just don't do well with grain-based foods. That's why we created BLUE Freedom dry food for puppies. BLUE Freedom contains no grains; so it has no glutens. Glutens are known to trigger allergic reactions in some puppies.A Grain-Free Food Made With The Finest Natural Ingredients.BLUE Freedom for puppies is made with the finest natural ingredients—ingredients chosen with great care by our animal nutritionists to provide your puppy with the right balance of hiqh-quality protein and complex carbohydrates.Deboned chicken is always the first ingredient.Whole carrots; sweet potatoes and peas.Blueberries and cranberries.NO chicken or poultry by-product meals; NO corn; wheat or soy and nothing artificial.BLUE Freedom for puppies is formulated to meet their special needs:Delicious deboned chicken is the first ingredient; which promotes healthy muscle growth.DHA; an important fatty acid found in mother's milk; contributes to the development of cognitive learning and retinal function in puppies.Unique ""small-bite"" kibble is the perfect size for smaller mouths and specially shaped to promote tartar removal.",19.99,petnutritioncenter_120,Blue Buffalo Life Protection Small Breed Adult Fish and Brown Rice Recipe Dry Dog Food,BLUE Chicken and Brown Rice Recipe for large breed puppies is formulated with ingredients chosen specifically to help address their special needs. High-Quality Protein - Puppies love our tasty chicken; and it provides them with essential amino acids they need every day. Wholesome Whole Grains - Hearty whole grains like brown rice; barley and oats supply the complex carbohydrates that your puppy needs for energy. Healthy Garden Veggies - Whole carrots; sweet potatoes and peas are three of the nutrient-rich vegetables that your puppy will get in every bite of BLUE.,46.99
0,countrymax_026,Blue Buffalo Lamb and Brown Rice Dog Food,Natural BLUE Lamb & Brown Rice Recipe for adult dogs is holistically formulated to support the needs of dogs in the prime of their lives. High-Quality Protein - Dogs love our tasty lamb; and it provides them with essential amino acids they need every day. Wholesome Whole Grains - Hearty whole grains like brown rice; barley and oats supply the complex carbohydrates that your dog needs for energy. Healthy Garden Veggies - Whole carrots; sweet potatoes and peas are three of the nutrient-rich vegetables that your dog will get in every bite of BLUE.,34.99,countrymax_031,Blue Buffalo Large Breed Puppy Chicken & Brown Rice,Taste of the Wild Wetlands delivers a grain free recipe with multiple protein sources for muscle development and healthy carbs for optimal energy for your canine carnivore. This chicken; duck and smoked turkey based recipe is packed with nutrients for a healthy and balanced amino acid profile. Coupled with nutritious grain free carbs like sweet potatoes; peas; carrots; and blueberries for healthy energy and vitamins; while staying away from the nasty fillers like corn; soy or meat by-products. Whether as a kibble topper for the picky dogs; or a complete meal; Taste of the Wild Wetlands canned dog food will take care of your companion’s natural needs.>Why We Love ItPacked to the brim with protein; taste; and nutritionComplete amino acid blend of duck; turkey; quail and chickenMade in the USA >About Taste of the WildYour pet still shares the DNA of the ancient canine. While dogs have evolved over time; the taste for fresh meats and high quality natural carbohydrates remains. Taste of the Wild is dedicated to providing premium; grain free recipes based on your pet's ancestral diet. All of Taste of the Wild's recipes rely on ingredients like quality meats and probiotics that maximize the nutritional health benefits for your pets. Each recipe is made with real roasted meats and supplemented with vegetables; legumes and fruits. These grain free recipes provide a superior taste sensation; highly digestible energy and antioxidants to support a healthy immune system. Taste of the Wild is manufactured in the USA to ensure safety and quality. Your pets crave a taste of the wild. Go ahead and give them one. It's the balanced diet that nature intended.IngredientsDuck; duck broth; chicken broth; chicken liver; dried egg product; chicken; potato starch; potatoes; roasted duck; roasted quail; smoked turkey; peas; ocean fish; guar gum; natural flavor; sodium phosphate; salt; flaxseed oil (preserved with mixed tocopherols); potassium chloride; inulin; tomatoes; sweet potatoes; blueberries; raspberries; choline chloride; yucca schidigera extract; zinc amino acid chelate; iron amino acid chelate; thiamine mononitrate; vitamin E supplement; copper amino acid chelate; manganese amino acid chelate; sodium selenite; cobalt amino acid chelate; niacin supplement; d-calcium pantothenate; vitamin A supplement; riboflavin supplement; biotin; vitamin B12 supplement; potassium iodide; pyridoxine hydrochloride; vitamin D3 supplement; folic acid; rosemary extract.   Guaranteed Analysis: Crude Protein 8.0% minimum Crude Fat 3.5% minimum Crude Fiber 1.0% maximum Moisture 82.0% maximum   Calorie Content: 994 kcal/kg; 372 kcal/can(13.2oz) Calculated Metabolizable Energy,30
0,bigdogworld_024,Taste of the Wild Sierra Mountain Roast Lamb 13Kg,Taste of the Wild Sierra Mountain is a grain-free dog food providing highly digestible energy. Made with real roasted lamb this formula delivers a taste sensation.Supplemented with vegetables and fruits this hearty formula delivers antioxidants to help give your dog a healthy lifestyle.Taste of the Wild Sierra Mountain Ingredients:Lamb; lamb meal; sweet potatoes; potatoes; peas; canola oil; egg product; roasted lamb; tomato pomace; natural flavor; salmon oil (a source of DHA); salt; choline chloride; mixed tocopherols (a preservative); dried chicory root; taurine; tomatoes; blueberries; raspberries; yucca schidigera extract; dried Lactobacillus acidophilus fermentation product; dried Bifidobacterium animalis fermentation product; dried Lactobacillus reuteri fermentation product; vitamin E supplement; iron proteinate; zinc proteinate; copper proteinate; ferrous sulfate; zinc sulfate; copper sulfate; potassium iodide; thiamine mononitrate (vitamin B1); manganese proteinate; manganous oxide; ascorbic acid; vitamin A supplement; biotin; niacin; calcium pantothenate; manganese sulfate; sodium selenite; pyridoxine hydrochloride (vitamin B6); vitamin B12 supplement; riboflavin (vitamin B2); vitamin D supplement; folic acid.Protein: 25% minimumFat: 15% minimum,48.95,concordpetfoods_055,Taste Of The Wild Wetlands Canned Dog Food,Taste of the Wild - Appalachian Valley Adult Small Breed is a balanced dry food for small breeds of dog of all ages. This biologically-appropriate diet is based on the original feeding habits of your dog and is rich in venison; lamb and duck. Dogs love the hearty taste of lean meat and they can easily digest this form of high-quality protein. Taste of the Wild - Appalachian Valley Adult Small Breed is completely grain and gluten free; so this tasty dry food can be fed to dogs with nutritional intolerances and allergies. Protein-rich pulses; such as chickpeas and lentils; provide the easy-to-digest; necessary carbohydrates. This dry food has an extra-small kibble size; which is suited to small jaws and makes chewing easier.Taste of the Wild - Appalachian Valley Adult Small Breed also contains a balanced mix of fruits; vegetables and plant fibres; which are rich in essential vitamins and minerals. Chicory with the prebiotic inulin and Yucca Schidigera help to promote your dog’s wellbeing and a healthy digestive system; while the high antioxidant content helps to strengthen the immune system and protect the body’s cells against free radicals. Omega fatty acids help to keep your dog’s coat glossy and skin healthy. Water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water.  Taste of the Wild - Appalachian Valley Adult Small Breed:Premium dry food for small breeds of dog of all ages Small kibble size: specifically suited to small jaws; making it easier to chewGluten and grain free: grain-free dog foods are very well accepted and are perfect for dogs with nutritional allergies or intolerancesVenison; lamb and duck: plenty of lean; delicious meat provides your dog with high-quality; easy-to-digest protein and sufficient energy to keep them in great shape Optimal amino acid profile: a balanced mix of animal proteins; egg; chickpeas; lentils and other pulses ensures an optimal amino acid profile; which is necessary to maintain your dog’s healthRich in antioxidants: promote a healthy immune system and help to protect cells from free radicals Healthy digestive system: dried chicory root and Yucca Schidigera extract provide prebiotic inulin; which supports healthy intestinal flora and the immune systemOmega fatty acids: omega-6 and omega-3 fatty acids promote a glossy coat and healthy skinBlueberries and raspberries: these berries are rich in phytonutrients; which have antioxidant properties to protect cellsTomatoes: a natural source of vegetable fibre for a healthy digestive system and with healthy vitamins and powerful antioxidants such as beta-carotene and lycopene Eggs: a source of premium; easy-to-digest proteins such as lutein and zeaxanthin; which help to protect your dog’s eyesightPurified water: water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water that has any inorganic chemicals removedNO: slaughterhouse waste; vegetable or animal by-products; taste enhancers; attractantsAll Life-Stages Nutrition: Taste of the Wild dog food is formulated to meet the recommended nutrient profiles of AAFCO (Association of American Feed Control Officials) and fulfils the nutritional needs of your pet throughout all stages of life.,15.51
0,horseandhound_065,Royal Canin Adult Maltese Dry Dog Food,Royal Canin ® Breed Health Nutrition ® Maltese Adult dry dog food is rated 5.0 out of 5 by 1.0:00 / 0:00Tailor-made Nutrition for Pure Breed dogs. An exclusive kibble for each breed: a concentration of scientific and nutritional expertise born from the unique knowledge of Royal Canin combined with the practical experience of breeders. ROYAL CANIN® BREED HEALTH NUTRITION® MALTESE ADULT dry dog food features a combination of nutrients to meet the unique needs of the pure breed Maltese adult.Supports long-flowing coatExclusive kibble shape encourages chewingReduces stool and odorSatisfies fussy appetites100% Complete and Balanced Nutrition100% Satisfaction GuaranteedMALTESE ADULT is formulated exclusively for pure breed Maltese adults over 10 months old.KibbleThe Maltese has a medium-length tapered muzzle with teeth that meet in an even or scissors bite. The size; shape and texture of the kibble is designed to be easy for Maltese to pick up and encourages chewing.IngredientsBrewers rice; corn; chicken by-product meal; chicken fat; wheat gluten; pork meal; natural flavors; dried chicory root; vegetable oil; fish oil; grain distillers dried yeast; potassium chloride; sodium silico aluminate; vitamins [DL-alpha tocopherol acetate (source of vitamin E); inositol; niacin supplement; L-ascorbyl-2-polyphosphate (source of vitamin C); D-calcium pantothenate; biotin; pyridoxine hydrochloride (vitamin B6); riboflavin supplement; thiamine mononitrate (vitamin B1); vitamin A acetate; folic acid; vitamin B12 supplement; vitamin D3 supplement]; salt; fructooligosaccharides; sodium tripolyphosphate; monocalcium phosphate; choline chloride; DL-methionine; taurine; calcium carbonate; marigold extract (Tagetes erecta L.); trace minerals [zinc proteinate; zinc oxide; ferrous sulfate; manganese proteinate; manganous oxide; copper sulfate; calcium iodate; sodium selenite; copper proteinate]; magnesium oxide; L-lysine; glucosamine hydrochloride; green tea extract; chondroitin sulfate; rosemary extract; preserved with mixed tocopherols and citric acid.,41.99,miscota_268,Royal Canin West Highland Terrier Adult,Taste of the Wild - Appalachian Valley Adult Small Breed is a balanced dry food for small breeds of dog of all ages. This biologically-appropriate diet is based on the original feeding habits of your dog and is rich in venison; lamb and duck. Dogs love the hearty taste of lean meat and they can easily digest this form of high-quality protein. Taste of the Wild - Appalachian Valley Adult Small Breed is completely grain and gluten free; so this tasty dry food can be fed to dogs with nutritional intolerances and allergies. Protein-rich pulses; such as chickpeas and lentils; provide the easy-to-digest; necessary carbohydrates. This dry food has an extra-small kibble size; which is suited to small jaws and makes chewing easier.Taste of the Wild - Appalachian Valley Adult Small Breed also contains a balanced mix of fruits; vegetables and plant fibres; which are rich in essential vitamins and minerals. Chicory with the prebiotic inulin and Yucca Schidigera help to promote your dog’s wellbeing and a healthy digestive system; while the high antioxidant content helps to strengthen the immune system and protect the body’s cells against free radicals. Omega fatty acids help to keep your dog’s coat glossy and skin healthy. Water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water.  Taste of the Wild - Appalachian Valley Adult Small Breed:Premium dry food for small breeds of dog of all ages Small kibble size: specifically suited to small jaws; making it easier to chewGluten and grain free: grain-free dog foods are very well accepted and are perfect for dogs with nutritional allergies or intolerancesVenison; lamb and duck: plenty of lean; delicious meat provides your dog with high-quality; easy-to-digest protein and sufficient energy to keep them in great shape Optimal amino acid profile: a balanced mix of animal proteins; egg; chickpeas; lentils and other pulses ensures an optimal amino acid profile; which is necessary to maintain your dog’s healthRich in antioxidants: promote a healthy immune system and help to protect cells from free radicals Healthy digestive system: dried chicory root and Yucca Schidigera extract provide prebiotic inulin; which supports healthy intestinal flora and the immune systemOmega fatty acids: omega-6 and omega-3 fatty acids promote a glossy coat and healthy skinBlueberries and raspberries: these berries are rich in phytonutrients; which have antioxidant properties to protect cellsTomatoes: a natural source of vegetable fibre for a healthy digestive system and with healthy vitamins and powerful antioxidants such as beta-carotene and lycopene Eggs: a source of premium; easy-to-digest proteins such as lutein and zeaxanthin; which help to protect your dog’s eyesightPurified water: water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water that has any inorganic chemicals removedNO: slaughterhouse waste; vegetable or animal by-products; taste enhancers; attractantsAll Life-Stages Nutrition: Taste of the Wild dog food is formulated to meet the recommended nutrient profiles of AAFCO (Association of American Feed Control Officials) and fulfils the nutritional needs of your pet throughout all stages of life.,19.99
1,countrymax_026,Blue Buffalo Lamb and Brown Rice Dog Food,Natural BLUE Lamb & Brown Rice Recipe for adult dogs is holistically formulated to support the needs of dogs in the prime of their lives. High-Quality Protein - Dogs love our tasty lamb; and it provides them with essential amino acids they need every day. Wholesome Whole Grains - Hearty whole grains like brown rice; barley and oats supply the complex carbohydrates that your dog needs for energy. Healthy Garden Veggies - Whole carrots; sweet potatoes and peas are three of the nutrient-rich vegetables that your dog will get in every bite of BLUE.,34.99,healthypetcenter_100,Blue Buffalo Life Protection Adult Lamb and Brown Rice Recipe Dry Dog Food,Taste of the Wild Sierra Mountain is a grain-free dog food providing highly digestible energy. Made with real beef and wild boar this formula delivers a taste sensation.Supplemented with vegetables and fruits this hearty formula delivers antioxidants to help give your dog a healthy lifestyle.Taste of the Wild Sierra Mountain Ingredients:Beef; peas; garbanzo beans; lamb meal; canola oil; egg product; wild boar; ocean fish meal; salmon oil (a source of DHA); brewers yeast; tomato pomace; flaxseed; natural flavor; salt; choline chloride; dried chicory root; tomatoes; blueberries; raspberries; yucca schidigera extract; dried Lactobacillus acidophilus fermentation product; dried Bifidobacterium animalis fermentation product; dried Lactobacillus reuteri fermentation product; vitamin E supplement; iron proteinate; zinc proteinate; copper proteinate; ferrous sulfate; zinc sulfate; copper sulfate; potassium iodide; thiamine mononitrate (vitamin B1); manganese proteinate; manganous oxide; ascorbic acid; vitamin A supplement; biotin; niacin; calcium pantothenate; manganese sulfate; sodium selenite; pyridoxine hydrochloride (vitamin B6); vitamin B12 supplement; riboflavin (vitamin B2); vitamin D supplement; folic acid.Protein: 29% minimumFat: 15% minimum,51.95
