label,left_id,left_name,left_descrtiption,left_price,right_id,right_name,right_descrtiption,right_price
0,mypetwarehouse_191,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74,bibita_151,Taste of the Wild Southwest Canyon Adult,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74
0,petsupplies_034,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74,roguevalleypet_034,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74
1,miscota_295,Royal Canin Mini Adult,For small breed dogs (adult weight up to 10 kg)  Over 10 months old  Helps maintain ideal weight in small breed dogs by perfectly meeting their high energy needs and promoting fat metabolism by L-carnitine.  Satisfies the fussy appetite of small breed dogs by means of its formulation and a selection of exclusive flavourings.  This formula contains nutrients that help support a healthy skin and coat. Enriched with EPA-DHA.  Helps reduce tartar formation thanks to the chelation agents in calcium.,29.84,mypetwarehouse_118,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74
0,mypetwarehouse_196,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74,petnutritioncenter_221,Royal Canin Hypoallergenic DR21 Canine,A lamb protein; grain-free formula with sweet potatoes and peas provides highly digestible energy for your dog. Made with real roasted lamb; this formula offers a taste sensation like no other. Supplemented with vegetables and fruits; this formula delivers antioxidants to help give your friend a healthy lifestyle. Your dog craves a taste of the wild. Go ahead and give him one.,22.75
0,bibita_118,Taste of the Wild Pacific Stream Puppy,Taste of the Wild - Pacific Stream Puppy is a delicious grain-free delight for any breed of growing dog. This balanced recipe has been developed from the natural diets of dogs in the wild; full of everything your dog could need to live a happy and healthy lifestyle. Sweet potatoes are the carbohydrate source in this dry food; something that is much easier to digest than grains and cereals; which can lead to adverse reactions and make mealtimes an unpleasant experience for sensitive dogs. As well as being a healthy source of carbohydrate; they also provide vital vitamins such as calcium; beta-carotene and iron; and act as a source of dietary fibre. This tasty dish uses fish as its only source of protein; which adds to its already high digestibility. Salmon not only acts as a premium protein but also as a source of omega-3 fatty acids such as DHA; which are known to help with eyesight and brain development; which are naturally of the utmost importance in a growing puppy. They can also keep joints moving smoothly and coat gleaming and in tip-top condition. Inulin; yucca schidigera and chicory all work to promote healthy digestive function. Every ingredient in this food is designed to keep your dog's health at the highest possible standard; providing all necessary nutrients and even acting as a source of antioxidants to increase immune system function. A luxurious culinary delight for even the most sensitive of dogs.Taste of the Wild - Pacific Stream Puppy dry dog food at a glance:Suitable for any breed and ideal for puppies. Ideal for sensitive dogs suffering from dietary intolerance or allergic reactions to particular proteins and/or grain.Mono-source protein: By using just one source of protein; this food becomes extremely well accepted and highly-digestible.With tasty salmon: For premium protein and essential omega-3 fatty acids. Highly-digestible and delicious. Grain-free: Grain can often lead to unpleasant adverse reactions; which is why this food contains none. Grain is also high in carbohydrate; which can lead to innumerable unpleasant issues with health. By avoiding grain; this dry food provides your dog with a healthy all-round nutrition.Omega fatty acids: Omega-3 and -6 fatty acids give your dog healthy skin and glossy coat.Sweet Potatoes: Ultra nutritious and highly-digestible; they are packed full of fibre; as well as being a source of vitamins such as calcium; beta-carotene and iron.Raspberries and blueberries: Contain antioxidants in the form of phytonutrients; to help neutralise free radicals.Tomatoes: Full of vegetable fibre to promote digestion and packed with vitamins and antioxidants; including lycopene and beta-carotene.Free from: Animal and vegetable by-products; waste products from the slaughterhouse and artificial flavourings and colourings. All Life-Stages Nutrition: Taste of the Wild dog food has been designed to continue meeting your dog's needs at every point in its life; according to the AAFCO (Association of American Feed Control Officials) recommendations.Taste of the Wild – Pacific Stream Puppy dog food is ideal for junior dogs and puppies of any breed - dog food just as nature intended.,26.99,miscota_331,Taste of the Wild Sierra Mountain Canine Formula with Roasted Lamb,This unique formula contains a blend of animal protein sources; including wild boar; for a taste sensation that your pet will love. In addition; nutrient-rich legumes and fruits like peas; garbanzo beans; blueberries and raspberries provide antioxidants for your petÂs healthy lifestyle. Your dog craves a taste of the wild. Go ahead and give him one.,32.75
0,miscota_028,Royal Canin Yorkshire Terrier Adult,Complete feed for dogs Â Specially forÂ adult and mature Yorkshire Terriers Â Over 10 months old Main BenefitsCOAT HEALTH This exclusive formula contributes to maintaining health of the YorkshireÂs long coat. Enriched with adapted content of Omega 3 fatty acids (EPA & DHA); Omega 6 fatty acids; borage oil and biotin. SATISFIES FUSSY APPETITESThis formula satisfies the fussiest of appetites thanks to a combination of exceptional flavours. HEALTHY AGEING SUPPORTThis formula supplies a selection of nutrients to help maintain health in mature dogs. Â EXCLUSIVE KIBBLE: DENTAL HEALTHThis formula helps reduce tartar formation thanks to calcium chelators.,9.82,miscota_044,Taste of the Wild Southwest Canyon Canine Formula with Wild Boar,Natural BLUE Chicken & Brown Rice Recipe for adult dogs is holistically formulated to support the needs of dogs in the prime of their lives. High-Quality Protein - Dogs love our tasty chicken; and it provides them with essential amino acids they need every day. Wholesome Whole Grains - Hearty whole grains like brown rice; barley and oats supply the complex carbohydrates that your dog needs for energy. Healthy Garden Veggies - Whole carrots; sweet potatoes and peas are three of the nutrient-rich vegetables that your dog will get in every bite of BLUE.,32.99
1,petnutritioncenter_106,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74,countrymax_012,Blue Buffalo Chicken & Brown Rice Dog Food,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74
0,roguevalleypet_031,Royal Canin Hypoallergenic DR21 Canine,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74,roguevalleypet_060,Royal Canin Hypoallergenic DR21 Canine,Taste of the Wild - Appalachian Valley Adult Small Breed is a balanced dry food for small breeds of dog of all ages. This biologically-appropriate diet is based on the original feeding habits of your dog and is rich in venison; lamb and duck. Dogs love the hearty taste of lean meat and they can easily digest this form of high-quality protein. Taste of the Wild - Appalachian Valley Adult Small Breed is completely grain and gluten free; so this tasty dry food can be fed to dogs with nutritional intolerances and allergies. Protein-rich pulses; such as chickpeas and lentils; provide the easy-to-digest; necessary carbohydrates. This dry food has an extra-small kibble size; which is suited to small jaws and makes chewing easier.Taste of the Wild - Appalachian Valley Adult Small Breed also contains a balanced mix of fruits; vegetables and plant fibres; which are rich in essential vitamins and minerals. Chicory with the prebiotic inulin and Yucca Schidigera help to promote your dog’s wellbeing and a healthy digestive system; while the high antioxidant content helps to strengthen the immune system and protect the body’s cells against free radicals. Omega fatty acids help to keep your dog’s coat glossy and skin healthy. Water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water.  Taste of the Wild - Appalachian Valley Adult Small Breed:Premium dry food for small breeds of dog of all ages Small kibble size: specifically suited to small jaws; making it easier to chewGluten and grain free: grain-free dog foods are very well accepted and are perfect for dogs with nutritional allergies or intolerancesVenison; lamb and duck: plenty of lean; delicious meat provides your dog with high-quality; easy-to-digest protein and sufficient energy to keep them in great shape Optimal amino acid profile: a balanced mix of animal proteins; egg; chickpeas; lentils and other pulses ensures an optimal amino acid profile; which is necessary to maintain your dog’s healthRich in antioxidants: promote a healthy immune system and help to protect cells from free radicals Healthy digestive system: dried chicory root and Yucca Schidigera extract provide prebiotic inulin; which supports healthy intestinal flora and the immune systemOmega fatty acids: omega-6 and omega-3 fatty acids promote a glossy coat and healthy skinBlueberries and raspberries: these berries are rich in phytonutrients; which have antioxidant properties to protect cellsTomatoes: a natural source of vegetable fibre for a healthy digestive system and with healthy vitamins and powerful antioxidants such as beta-carotene and lycopene Eggs: a source of premium; easy-to-digest proteins such as lutein and zeaxanthin; which help to protect your dog’s eyesightPurified water: water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water that has any inorganic chemicals removedNO: slaughterhouse waste; vegetable or animal by-products; taste enhancers; attractantsAll Life-Stages Nutrition: Taste of the Wild dog food is formulated to meet the recommended nutrient profiles of AAFCO (Association of American Feed Control Officials) and fulfils the nutritional needs of your pet throughout all stages of life.,
0,mypetwarehouse_191,Taste of the Wild Appalachian Valley Adult Small Breed,Taste of the Wild - Appalachian Valley Adult Small Breed is a balanced dry food for small breeds of dog of all ages. This biologically-appropriate diet is based on the original feeding habits of your dog and is rich in venison; lamb and duck. Dogs love the hearty taste of lean meat and they can easily digest this form of high-quality protein. Taste of the Wild - Appalachian Valley Adult Small Breed is completely grain and gluten free; so this tasty dry food can be fed to dogs with nutritional intolerances and allergies. Protein-rich pulses; such as chickpeas and lentils; provide the easy-to-digest; necessary carbohydrates. This dry food has an extra-small kibble size; which is suited to small jaws and makes chewing easier.Taste of the Wild - Appalachian Valley Adult Small Breed also contains a balanced mix of fruits; vegetables and plant fibres; which are rich in essential vitamins and minerals. Chicory with the prebiotic inulin and Yucca Schidigera help to promote your dog’s wellbeing and a healthy digestive system; while the high antioxidant content helps to strengthen the immune system and protect the body’s cells against free radicals. Omega fatty acids help to keep your dog’s coat glossy and skin healthy. Water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water.  Taste of the Wild - Appalachian Valley Adult Small Breed:Premium dry food for small breeds of dog of all ages Small kibble size: specifically suited to small jaws; making it easier to chewGluten and grain free: grain-free dog foods are very well accepted and are perfect for dogs with nutritional allergies or intolerancesVenison; lamb and duck: plenty of lean; delicious meat provides your dog with high-quality; easy-to-digest protein and sufficient energy to keep them in great shape Optimal amino acid profile: a balanced mix of animal proteins; egg; chickpeas; lentils and other pulses ensures an optimal amino acid profile; which is necessary to maintain your dog’s healthRich in antioxidants: promote a healthy immune system and help to protect cells from free radicals Healthy digestive system: dried chicory root and Yucca Schidigera extract provide prebiotic inulin; which supports healthy intestinal flora and the immune systemOmega fatty acids: omega-6 and omega-3 fatty acids promote a glossy coat and healthy skinBlueberries and raspberries: these berries are rich in phytonutrients; which have antioxidant properties to protect cellsTomatoes: a natural source of vegetable fibre for a healthy digestive system and with healthy vitamins and powerful antioxidants such as beta-carotene and lycopene Eggs: a source of premium; easy-to-digest proteins such as lutein and zeaxanthin; which help to protect your dog’s eyesightPurified water: water used in the cooking process is purified by reverse osmosis; which guarantees safe; sterile water that has any inorganic chemicals removedNO: slaughterhouse waste; vegetable or animal by-products; taste enhancers; attractantsAll Life-Stages Nutrition: Taste of the Wild dog food is formulated to meet the recommended nutrient profiles of AAFCO (Association of American Feed Control Officials) and fulfils the nutritional needs of your pet throughout all stages of life.,,megapet_107,Taste of the Wild Appalachian Valley Adult Small Breed,Royal Canin Mini Dermacomfort is a unique food that can help small dogs that suffer from skin irritation. Healthy skin is vital to ensuring your dog’s wellbeing; as it forms a barrier which protects the organs; and prevents the body from drying out. It also protects the body from injury and infections from harmful bacteria; as well as storing fats and vitamins and being an important source of sensory information.Itching; dandruff; a greasy coat or dry skin are all signs that something may be wrong with your dog. These complaints can affect your dog’s overall wellbeing; so they should not be ignored. Royal Canin Mini Dermacomfort has a combination of active ingredients designed to combat skin complaints and improve the skin’s health. Royal Canin Mini Dermacomfort dog food contains a unique combination of nutrients and a patented complex to improve and keep your dog’s fur and skin healthy. After only one month of feeding your dog Royal Canin Dermacomfort you will notice an improvement; with less scratching and itching.Royal Canin Health Nutrition - know and respect your dog's behavioural and nutritional requirements to ensure its wellbeing and health. The benefits of Royal Canin Mini Dermacomfort at a glance:For small dogs with sensitive skinKeeps skin healthySupports the skin’s barrier roleWith valuable omega-3- and omega-6 fatty acids which have a positive effect on skin and furWith selected; highly digestible protein sources which are for dogs with sensitive skinReduces skin irritation and itchingReduces skin issues. Visible results achieved after only one month of feedingLess scratching and itching,82.99
0,bibita_195,Hill's Prescription Diet Canine i/d Digestive Care,Hill's Prescription Diet Canine i/d Digestive Care with Chicken complete dry dog food has been formulated to help relieve digestive upset caused by canine gastrointestinal disorders; as well as to improve digestion in dogs that suffer from exocrine pancreatic insufficiency. This highly digestible; complete dog food has a low fat content and is therefore ideal for feeding as a recovery diet after surgery or a debilitating illness. The dietetic recipe features high levels of electrolytes and vital antioxidants; which can have a positive impact on your dog’s general health.Hill's Prescription Diet Canine i/d Digestive Care with Chicken has been developed by specialists for junior and adult dogs that suffer from gastrointestinal disorders; providing them with a balanced ratio of all vital nutrients they need. Indications:Acute and chronic gastrointestinal disorders; including gastritis; enteritis; colitis (the most common causes of  diarrhoea; malabsorption and bacterial overgrowth)Recovery after intestinal-related surgeryRecovery after minor surgery or other debilitating diseasesExocrine pancreatic insufficiencyAcute pancreatitisBloating (gastric dilatation and volvulus)Meets the needs of growing junior dogsContraindications:Dogs with sodium retentionCatsHill's™ Prescription Diet™ has a wide selection of clinically proven nutritional products which meet your pet's specific dietary needs. Hill's Evidence-Based Clinical Nutrition™ uses the most up-to-date scientific research evidence combined with clinical expertise to develop a range of diets which help alleviate your pet’s health issues.Please consult your vet for further information and specific treatment options for your pet. 100% satisfaction guaranteed: Hill´s Prescription Diet products are made using only top quality ingredients. They have a delicious taste your pet will love. Hill's are so confident that your pet will enjoy Hill´s Prescription Diet foods that they offer a 100% money-back guarantee. ,89.99,bibita_199,Royal Canin Mini Dermacomfort,HYPOALLERGENIC is a complete dietetic feed for dogs formulated to reduce ingredient and nutrient intolerances. Selected sources of protein and carbohydrate. Â - Food elimination trial Â - Food allergy Â - Food intolerance Â - Inflammatory bowel disease (IBD) Â - Exocrine pancreatic insufficiency Â - Bacterial Overgrowth Â - [chronic_diarrhoea] Â - Hydrolysed protein with low molecular weight to ensure the food is hypoallergenic. Â - A patented complex to support the barrier effect of the skin. Â - Fatty acids to help maintain a healthy digestive system and a healthy skin. - Nutrients which support a balanced digestive system.,60.74
